"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.62955504017844e-31,1.26848873152854,0.358,0.082,1.32845344025571e-26,"Dendritic cells","TXNDC17"
3.63582411832141e-31,0.823277302401215,0.5,0.167,1.33074798554682e-26,"Dendritic cells","MICAL2"
3.66380657132159e-31,0.611007854564395,0.642,0.279,1.34098984316942e-26,"Dendritic cells","BST2"
3.88255220005295e-31,0.704244029925324,0.486,0.164,1.42105293074138e-26,"Dendritic cells","ZNF710"
4.14800183205342e-31,1.23141333253705,0.378,0.091,1.51821015054987e-26,"Dendritic cells","PPIF"
4.35070244701465e-31,0.256341403454778,0.453,0.191,1.59240060263183e-26,"Dendritic cells","TUBGCP2"
4.419429866136e-31,0.993021984951075,0.365,0.099,1.61755552530444e-26,"Dendritic cells","YWHAH"
4.88280740339652e-31,0.585080883374212,0.486,0.189,1.78715633771716e-26,"Dendritic cells","LASP1"
5.00070863238736e-31,0.416068674909953,0.635,0.281,1.8303093665401e-26,"Dendritic cells","BAZ2B"
5.19645167627189e-31,0.415865058594911,0.5,0.205,1.90195327803228e-26,"Dendritic cells","AGPAT3"
5.28640710860457e-31,1.6931775596172,0.324,0.056,1.93487786582036e-26,"Dendritic cells","NCKAP5L"
5.47044972882699e-31,0.458829472665909,0.608,0.278,2.00223930524797e-26,"Dendritic cells","EIF5A"
5.97023678787094e-31,0.822816551868777,0.392,0.119,2.18516636672864e-26,"Dendritic cells","TOMM22"
6.21855667158589e-31,0.95786604380608,0.845,0.385,2.27605392736715e-26,"Dendritic cells","CAP1"
6.46381377708061e-31,0.724172239845279,0.345,0.105,2.36582048054927e-26,"Dendritic cells","RRP7A"
6.47862597424339e-31,0.718365630315761,0.486,0.168,2.37124189283282e-26,"Dendritic cells","RRBP1"
6.80454318678611e-31,0.885274530369966,0.338,0.088,2.49053085179558e-26,"Dendritic cells","MTHFD2"
6.89489789128082e-31,0.976416462494592,0.453,0.135,2.52360157718769e-26,"Dendritic cells","DAPP1"
6.96255534851989e-31,0.469974226291079,0.831,0.437,2.54836488311176e-26,"Dendritic cells","SRSF3"
6.98228824688286e-31,0.926800476082497,0.318,0.076,2.55558732124159e-26,"Dendritic cells","RHOC"
7.03874762543016e-31,0.510373729918984,0.723,0.344,2.57625201838369e-26,"Dendritic cells","EIF3E"
